# Source     : all
# Name       : sampledSurface
# Cells      : 559600
# Volume     : 4.859558e-09
# Scale factor: 1.000000e+00
# Time       	volIntegrateU
0.00401      	4.851391e-09 -5.450755e-13 -4.756885e-18
0.00402      	4.852752e-09 -5.500737e-13 -4.771660e-18
0.00403      	4.854097e-09 -5.549034e-13 -4.785133e-18
0.00404      	4.855425e-09 -5.595685e-13 -4.799846e-18
0.00405      	4.856738e-09 -5.640830e-13 -4.813222e-18
0.00406      	4.858035e-09 -5.684444e-13 -4.827847e-18
0.00407      	4.859317e-09 -5.726702e-13 -4.841116e-18
0.00408      	4.860583e-09 -5.767646e-13 -4.855702e-18
0.00409      	4.861833e-09 -5.807409e-13 -4.868860e-18
0.0041       	4.863069e-09 -5.845942e-13 -4.883348e-18
0.00411      	4.864290e-09 -5.883614e-13 -4.896386e-18
0.00412      	4.865496e-09 -5.920230e-13 -4.910806e-18
0.00413      	4.866687e-09 -5.956123e-13 -4.923755e-18
0.00414      	4.867864e-09 -5.991599e-13 -4.938069e-18
0.00415      	4.869026e-09 -6.026566e-13 -4.950877e-18
0.00416      	4.870175e-09 -6.061042e-13 -4.965158e-18
0.00417      	4.871309e-09 -6.095233e-13 -4.977835e-18
0.00418      	4.872429e-09 -6.129049e-13 -4.992056e-18
0.00419      	4.873536e-09 -6.162803e-13 -5.004569e-18
0.0042       	4.874629e-09 -6.196396e-13 -5.018757e-18
0.00421      	4.875709e-09 -6.230129e-13 -5.031156e-18
0.00422      	4.876775e-09 -6.263914e-13 -5.045236e-18
0.00423      	4.877829e-09 -6.298053e-13 -5.057561e-18
0.00424      	4.878869e-09 -6.332441e-13 -5.071570e-18
0.00425      	4.879896e-09 -6.367389e-13 -5.083797e-18
0.00426      	4.880911e-09 -6.402808e-13 -5.097729e-18
0.00427      	4.881913e-09 -6.438993e-13 -5.109864e-18
0.00428      	4.882902e-09 -6.475842e-13 -5.123729e-18
0.00429      	4.883879e-09 -6.513699e-13 -5.135767e-18
0.0043       	4.884845e-09 -6.552473e-13 -5.149591e-18
0.00431      	4.885798e-09 -6.592251e-13 -5.161549e-18
0.00432      	4.886740e-09 -6.633071e-13 -5.175255e-18
0.00433      	4.887669e-09 -6.675300e-13 -5.187152e-18
0.00434      	4.888587e-09 -6.718692e-13 -5.200796e-18
0.00435      	4.889494e-09 -6.763670e-13 -5.212605e-18
